MAPE,MAE,MSE,R2,Tiempo
5.552539,1.130638,2.088039,1.303114,0.112000
4.767234,1.003466,1.708579,0.924919,0.113000
4.739989,1.017871,1.765820,0.583291,0.114000
4.926810,1.011231,1.713656,1.233285,0.115000
4.425479,0.939134,1.534918,0.833921,0.115000
4.640597,0.989158,1.689037,0.734903,0.113000
4.569787,0.965698,1.604887,0.855744,0.115000
4.976296,1.073692,1.944284,0.479491,0.113000
5.264536,1.080549,1.925475,1.239020,0.114000
4.700119,0.999978,1.706781,0.771365,0.113000
4.670489,0.971786,1.617283,1.092847,0.115000
4.871254,1.053640,1.878514,0.486796,0.112000
5.149592,1.080426,1.926091,0.843991,0.120000
5.377994,1.110452,2.021812,1.035459,0.113000
4.845761,1.038202,1.829986,0.683798,0.113000
4.948333,1.041690,1.828766,0.929893,0.113000
4.636491,0.976740,1.636424,0.923478,0.113000
4.512889,0.948350,1.550921,0.946467,0.114000
5.113090,1.053719,1.846413,1.172350,0.114000
4.621954,0.964270,1.600293,1.097930,0.115000
4.637671,0.962071,1.586037,1.105772,0.114000
5.869303,1.187207,2.267649,1.412458,0.112000
5.939620,1.199910,2.281543,1.590680,0.114000
6.659161,1.346414,2.812886,1.676324,0.113000
4.813467,1.009374,1.730617,1.010526,0.114000
6.513480,1.304581,2.667711,1.644556,0.112000
4.597064,0.970991,1.615927,0.850847,0.113000
4.519171,0.971324,1.634096,0.638507,0.113000
4.900181,1.037764,1.813726,0.770734,0.112000
4.914442,1.022436,1.760096,1.001711,0.112000
4.928434,1.026214,1.759536,0.942994,0.114000
4.600434,0.976300,1.633427,0.765215,0.112000
4.649288,0.979138,1.644460,0.968790,0.113000
5.208197,1.125119,2.101780,0.429822,0.113000
5.653327,1.142358,2.089034,1.470244,0.113000
4.982558,1.049293,1.842191,0.763912,0.112000
4.901595,1.049535,1.855566,0.602131,0.115000
4.720797,1.017829,1.759674,0.540352,0.114000
4.696286,0.994063,1.686322,0.863026,0.113000
4.645216,0.982206,1.647413,0.886878,0.113000
4.813287,1.022173,1.769366,0.761739,0.114000
5.524018,1.198543,2.337499,0.229482,0.113000
4.897071,1.024015,1.758218,0.946991,0.114000
4.709970,0.980421,1.633708,1.059362,0.114000
4.680150,0.983146,1.649754,0.894543,0.113000
4.835802,1.023165,1.768594,0.846332,0.113000
4.678124,0.972606,1.614054,1.068429,0.114000
4.854212,1.041291,1.833237,0.672607,0.113000
5.063312,1.088637,1.987564,0.502981,0.113000
4.811345,1.026482,1.789588,0.773472,0.113000
5.613383,1.212231,2.410709,0.449496,0.112000
5.057266,1.088994,1.990076,0.589193,0.113000
4.889748,1.018447,1.747315,1.061467,0.113000
5.972993,1.207841,2.346298,1.499943,0.114000
4.758631,0.995990,1.682067,0.964660,0.114000
4.909121,1.027848,1.776966,0.936135,0.113000
5.456564,1.164821,2.239254,0.666369,0.112000
4.609037,0.969459,1.618429,0.985201,0.114000
5.146212,1.053105,1.825929,1.166694,0.114000
4.896902,1.063051,1.897558,0.408927,0.114000
4.950819,1.063738,1.905804,0.559531,0.114000
4.784138,0.991122,1.658618,1.126701,0.114000
4.927332,1.059472,1.882619,0.533722,0.112000
4.925834,1.055613,1.878689,0.620608,0.112000
4.994314,1.067143,1.923854,0.584464,0.112000
4.791185,1.010303,1.729971,0.848110,0.113000
9.684076,1.903824,5.190377,2.263249,0.110000
4.668287,0.985197,1.655704,0.901962,0.113000
4.775678,0.999344,1.696275,0.993070,0.113000
4.829600,0.997865,1.683323,1.160437,0.113000
4.662910,0.999074,1.715587,0.690032,0.113000
4.749170,0.986271,1.647642,1.035228,0.114000
5.597275,1.134226,2.088247,1.427439,0.112000
5.664713,1.143903,2.103552,1.508692,0.113000
4.667120,0.993659,1.690304,0.755861,0.113000
5.710150,1.156026,2.143722,1.495064,0.113000
4.714902,0.991108,1.671820,0.891545,0.113000
5.098067,1.043734,1.803937,1.296837,0.113000
6.799285,1.366057,2.859621,1.600825,0.112000
5.393993,1.102125,1.984762,1.206509,0.113000
5.586490,1.151597,2.159757,1.104873,0.112000
5.049232,1.040260,1.805039,1.236024,0.114000
4.553204,0.970045,1.618404,0.733870,0.113000
4.709085,0.996408,1.690840,0.812652,0.114000
4.759984,0.988298,1.650733,1.053410,0.126000
5.333087,1.100490,2.004108,1.179127,0.113000
4.544050,0.957471,1.578141,0.925496,0.113000
4.897291,1.007226,1.705519,1.248438,0.114000
4.561305,0.962025,1.594804,0.895323,0.114000
4.616560,0.964811,1.595454,1.003587,0.113000
7.522001,1.488407,3.306938,1.901731,0.112000
4.830862,0.999298,1.686963,1.135541,0.113000
4.536637,0.949384,1.553399,1.001672,0.113000
9.675121,1.903921,5.122478,2.297946,0.111000
4.796500,1.012004,1.734111,0.835930,0.112000
5.167587,1.111500,2.067798,0.549393,0.112000
5.996829,1.239331,2.472611,0.917508,0.113000
5.467908,1.115290,2.023468,1.198359,0.113000
5.022288,1.023428,1.745437,1.328868,0.114000
4.903611,1.036426,1.808306,0.790727,0.114000
5.347750,1.093655,1.960350,1.325372,0.112000
5.585262,1.209648,2.391007,0.361773,0.110000
4.681299,0.998419,1.705787,0.758356,0.113000
4.617821,0.982978,1.652867,0.744342,0.113000
4.880873,1.023733,1.753438,0.829180,0.112000
4.893612,1.053731,1.870776,0.540971,0.113000
5.146727,1.097562,1.998584,0.615095,0.114000
4.610891,0.980578,1.647680,0.770957,0.114000
5.957229,1.202355,2.319329,1.463596,0.111000
5.543096,1.129467,2.074426,1.470643,0.114000
7.027825,1.404710,3.014922,1.811936,0.112000
4.437267,0.942590,1.545302,0.819108,0.114000
5.300624,1.153705,2.196226,0.282891,0.113000
4.842855,0.996862,1.668443,1.142211,0.114000
6.667028,1.333216,2.720269,1.743841,0.112000
5.348613,1.166198,2.230336,0.318171,0.113000
4.528881,0.959476,1.588233,0.815443,0.114000
